char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class
د ب س,S B D,د,ب,س,D,B,S,1,500000,
س ن ص,X N S,س,ن,ص,S,N,X,10,17000,
ق ح ل,L J G,ق,ح,ل,G,J,L,40,12500,
ل ب ل,L B L,ل,ب,ل,L,B,L,91,12500,
أ أ أ,A A A,أ,أ,أ,A,A,A,2116,8000,
ق ب ح,J B G,ق,ب,ح,G,B,J,111,18000,
ق ن ن,N N G,ق,ن,ن,G,N,N,43,11500,
ب ن ل,L N B,ب,ن,ل,B,N,L,54,8000,
م ح أ,A J Z,م,ح,أ,Z,J,A,300,8000,
و ن ح,J N U,و,ن,ح,U,N,J,80,10500,
ي و ي,V U V,ي,و,ي,V,U,V,220,6500,
ق ط ر,R T G,ق,ط,ر,G,T,R,326,6000,
ن م د,D Z N,ن,م,د,N,Z,D,96,8500,
ه أ أ,A A H,ه,أ,أ,H,A,A,221,6500,
ي م د,D Z V,ي,م,د,V,Z,D,500,7800,
ل أ ن,N A L,ل,أ,ن,L,A,N,29,11000,
م ط ر,R T Z,م,ط,ر,Z,T,R,937,5000,
ه و ح,J U H,ه,و,ح,H,U,J,757,4500,
ح ر م,Z R J,ح,ر,م,J,R,Z,8040,5000,
ح ن ه,H N J,ح,ن,ه,J,N,H,9599,3000,
ل و س,S U L,ل,و,س,L,U,S,206,4500,
ب د ر,R D B,ب,د,ر,B,D,R,5355,13000,
أ د ب,B D A,أ,د,ب,A,D,B,2442,6000,
ر ح ب,B J R,ر,ح,ب,R,J,B,334,3000,
ر ن د,D N R,ر,ن,د,R,N,D,4559,3000,
د د و,U D D,د,د,و,D,D,U,8,90500,
ر ب د,D B R,ر,ب,د,R,B,D,5555,19500,
ل و ك,K U L,ل,و,ك,L,U,K,60,20000,
و ك أ,A K U,و,ك,أ,U,K,A,837,3000,
أ س د,D S A,أ,س,د,A,S,D,423,15400,
ر ق و,U G R,ر,ق,و,R,G,U,9495,1500,
ح ر ب,B R J,ح,ر,ب,J,R,B,3568,4500,
ع ب ه,H B E,ع,ب,ه,E,B,H,4,60000,
ه ع ر,R E H,ه,ع,ر,H,E,R,7,53500,
ع م ي,V Z E,ع,م,ي,E,Z,V,33,50000,
ب ه ع,E H B,ب,ه,ع,B,H,E,44,22000,
ن ص م,Z X N,ن,ص,م,N,X,Z,55,23000,
ص ط ص,X T X,ص,ط,ص,X,T,X,66,30000,
ب ك د,D K B,ب,ك,د,B,K,D,222,22000,
ط ك ح,J K T,ط,ك,ح,T,K,J,333,22000,
س ب ن,N B S,س,ب,ن,S,B,N,999,35000,
ي أ د,D A V,ي,أ,د,V,A,D,68,38000,
ي ع ر,R E V,ي,ع,ر,V,E,R,45,12000,
س س د,D S S,س,س,د,S,S,D,69,25000,
ي ص د,D X V,ي,ص,د,V,X,D,38,11000,
ر ي ن,N V R,ر,ي,ن,R,V,N,20,42500,
ق ي ي,V V G,ق,ي,ي,G,V,V,56,18000,
ن د ق,G D N,ن,د,ق,N,D,G,34,11500,
ن ه ر,R H N,ن,ه,ر,N,H,R,80,60000,
ه ق د,D G H,ه,ق,د,H,G,D,60,16000,
ه م ص,X Z H,ه,م,ص,H,Z,X,67,8900,
م ر د,D R Z,م,ر,د,Z,R,D,377,5000,
م ي م,Z V Z,م,ي,م,Z,V,Z,622,15500,
ي ق ح,J G V,ي,ق,ح,V,G,J,911,20000,
أ س د,D S A,أ,س,د,A,S,D,4449,17500,
د و أ,A U D,د,و,أ,D,U,A,5000,15000,
أ د ق,G D A,أ,د,ق,A,D,G,8000,17000,
ق ي ص,X V G,ق,ي,ص,G,V,X,565,6000,
ص ص ي,V X X,ص,ص,ي,X,X,V,730,7000,
ي ط س,S T V,ي,ط,س,V,T,S,705,4000,
ص ب أ,A B X,ص,ب,أ,X,B,A,181,45000,
أ ح ب,B J A,أ,ح,ب,A,J,B,156,11000,
د د د,D D D,د,د,د,D,D,D,6864,12000,
ح م د,D Z J,ح,م,د,J,Z,D,6472,4000,
د و ن,N U D,د,و,ن,D,U,N,4752,1000,
ب ي م,Z V B,ب,ي,م,B,V,Z,4321,23700,
ر ع د,D E R,ر,ع,د,R,E,D,5955,12000,
د ع و,U E D,د,ع,و,D,E,U,8959,1000,
د ع د,D E D,د,ع,د,D,E,D,3553,4000,
أ ح ب,B J A,أ,ح,ب,A,J,B,1225,4900,
د د و,U D D,د,د,و,D,D,U,2,80000,ذهبي
ن م ا,A Z N,ن,م,ا,N,Z,A,4,65000,ذهبي
د هـ م,Z H D,د,هـ,م,D,H,Z,10,25000,برونزي
ع ل م,Z L E,ع,ل,م,E,L,Z,46,26000,برونزي
ق م ح,J Z G,ق,م,ح,G,Z,J,88,26000,فضي
ر و ر,R U R,ر,و,ر,R,U,R,1000,14000,برونزي
ر هـ ى,V H R,ر,هـ,ى,R,H,V,1111,19000,فضي
ر و ب,B U R,ر,و,ب,R,U,B,2000,7000,برونزي
ر و ا,A U R,ر,و,ا,R,U,A,2222,15000,فضي
ر ن ص,X N R,ر,ن,ص,R,N,X,3000,5000,برونزي
ر ن ل,L N R,ر,ن,ل,R,N,L,3333,13000,فضي
د د د,D D D,د,د,د,D,D,D,3616,4000,برونزي
د د د,D D D,د,د,د,D,D,D,3621,3500,برونزي
د د د,D D D,د,د,د,D,D,D,3625,3500,برونزي
ر هـ ع,E H R,ر,هـ,ع,R,H,E,4000,6000,برونزي
ر و ص,X U R,ر,و,ص,R,U,X,4444,14000,فضي
ب ب ب,B B B,ب,ب,ب,B,B,B,4701,4000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4726,3000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4728,3500,برونزي
ر و د,D U R,ر,و,د,R,U,D,5000,9000,برونزي
ر ص ب,B X R,ر,ص,ب,R,X,B,5555,13000,فضي
ر ن ن,N N R,ر,ن,ن,R,N,N,6000,10000,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6504,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6513,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6520,3000,برونزي
ر ل ك,K L R,ر,ل,ك,R,L,K,6666,15000,فضي
ر هـ ا,A H R,ر,هـ,ا,R,H,A,7000,10000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7544,9000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7546,3500,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7550,9000,برونزي
ر هـ ص,X H R,ر,هـ,ص,R,H,X,7777,14000,فضي
ر هـ م,Z H R,ر,هـ,م,R,H,Z,8000,9500,برونزي
ر ك ق,G K R,ر,ك,ق,R,K,G,8888,14000,فضي
ر ب هـ,H B R,ر,ب,هـ,R,B,H,9000,7000,برونزي
ر م ك,K Z R,ر,م,ك,R,Z,K,9999,17000,فضي
ح ل ه,J L H,ح,ل,ه,H,L,J,20,19500,
ع و ر,E U R,ع,و,ر,R,U,E,8,52000,
ي ن م,V N Z,ي,ن,م,Z,N,V,84,9000,
س د أ,S D A,س,د,أ,A,D,S,800,7000,
ح ل أ,J L A,ح,ل,أ,A,L,J,6464,8500,
ب ر ي,B R V,ب,ر,ي,V,R,B,555,16500,
ر ق م,R G Z,ر,ق,م,Z,G,R,4999,5500,
ح ر ب,J R B,ح,ر,ب,B,R,J,9880,8000,
س ق ق,S G G,س,ق,ق,G,G,S,77,24000,
و د ع,U D E,و,د,ع,E,D,U,366,5000,
ح م ر,J Z R,ح,م,ر,R,Z,J,3338,3000,
ح ن و,J N U,ح,ن,و,U,N,J,5556,8500,
ح و ي,J U V,ح,و,ي,V,U,J,5544,2500,
ه م ص,H Z X,ه,م,ص,X,Z,H,67,7000,
ر ل ل,R L L,ر,ل,ل,L,L,R,9993,3500,
ر ط ر,R T R,ر,ط,ر,R,T,R,7676,3000,
أ س د,A S D,أ,س,د,D,S,A,6324,3800,
ص ح ر,X J R,ص,ح,ر,R,J,X,99,36000,
ك س ص,K S X,ك,س,ص,X,S,K,110,7500,
ب ع ن,B E N,ب,ع,ن,N,E,B,4555,3000,
ر ص ي,R X V,ر,ص,ي,V,X,R,7700,2500,
أ ح ب,A J B,أ,ح,ب,B,J,A,343,15000,
م د ه,Z D H,م,د,ه,H,D,Z,547,2499,
ن ي ل,N V L,ن,ي,ل,L,V,N,185,3000,
و ه ص,U H X,و,ه,ص,X,H,U,108,3000,
س ه ل,S H L,س,ه,ل,L,H,S,617,9000,
ر ر ق,R R G,ر,ر,ق,G,R,R,6868,3100,
ر ط ط,R T T,ر,ط,ط,T,T,R,4882,1500,
س ع د,S E D,س,ع,د,D,E,S,8177,6500,
ح و ر,J U R,ح,و,ر,R,U,J,8500,6500,
م ك ع,Z K E,م,ك,ع,E,K,Z,2,76000,
أ ر ص,A R X,أ,ر,ص,X,R,A,33,20000,
أ د س,A D S,أ,د,س,S,D,A,44,28000,
ص ح ر,X J R,ص,ح,ر,R,J,X,66,35000,
س و و,S U U,س,و,و,U,U,S,333,30000,
ه د د,H D D,ه,د,د,D,D,H,555,50000,
ي ط ه,V T H,ي,ط,ه,H,T,V,888,21000,
ط أ ه,T A H,ط,أ,ه,H,A,T,49,15000,
ك ص ر,K X R,ك,ص,ر,R,X,K,90,12000,
م ه أ,Z H A,م,ه,أ,A,H,Z,69,68000,
ه ل ه,H L H,ه,ل,ه,H,L,H,76,23600,
م م ن,Z Z N,م,م,ن,N,Z,Z,81,25000,
ه ن د,H N D,ه,ن,د,D,N,H,28,49000,
م ن ي,Z N V,م,ن,ي,V,N,Z,73,28000,
س ن د,S N D,س,ن,د,D,N,S,50,125000,
ي ص د,V X D,ي,ص,د,D,X,V,38,11000,
ن ل ه,N L H,ن,ل,ه,H,L,N,400,7000,
ق د أ,G D A,ق,د,أ,A,D,G,533,5000,
د ص ي,D X V,د,ص,ي,V,X,D,822,3000,
ل ح ن,L J N,ل,ح,ن,N,J,L,833,10500,
ي ق ح,V G J,ي,ق,ح,J,G,V,911,17500,
ر ل ك,R L K,ر,ل,ك,K,L,R,6667,5000,
د ك ر,D K R,د,ك,ر,R,K,D,2000,13000,
ح س ك,J S K,ح,س,ك,K,S,J,3000,30000,
ر ن أ,R N A,ر,ن,أ,A,N,R,3000,610000,
ب ي د,B V D,ب,ي,د,D,V,B,6000,10000,
ر أ ع,R A E,ر,أ,ع,E,A,R,9000,14500,
د ق م,D G Z,د,ق,م,Z,G,D,2266,5000,
س أ د,S A D,س,أ,د,D,A,S,717,19000,
ن ي و,N V U,ن,ي,و,U,V,N,152,10000,
ب ر ق,B R G,ب,ر,ق,G,R,B,314,9500,
ي ط س,V T S,ي,ط,س,S,T,V,705,3000,
ب أ ك,B A K,ب,أ,ك,K,A,B,8188,4500,
ر ط س,R T S,ر,ط,س,S,T,R,8099,1500,
ر أ ك,R A K,ر,أ,ك,K,A,R,3989,1000,
ر ن أ,R N A,ر,ن,أ,A,N,R,9798,8500,
د س د,D S D,د,س,د,D,S,D,2678,1000,
د م ع,D Z E,د,م,ع,E,Z,D,2898,5000,
ح ص ك,J X K,ح,ص,ك,K,X,J,3899,1000,
و ي و,U V U,و,ي,و,U,V,U,1,420000,
د ع س,S E D,د,ع,س,D,E,S,8080,13000,
ه ع ر,R E H,ه,ع,ر,H,E,R,7,49000,
ق س ل,L S G,ق,س,ل,G,S,L,53,9500,
س ع د,D E S,س,ع,د,S,E,D,5011,8500,
ن س ر,R S N,ن,س,ر,N,S,R,820,6500,
ق د ص,X D G,ق,د,ص,G,D,X,555,15500,
ر ع ب,B E R,ر,ع,ب,R,E,B,2882,9000,
ع ر ب,B R E,ع,ر,ب,E,R,B,611,14000,
ر ر ط,T R R,ر,ر,ط,R,R,T,4004,5000,
ح و ب,B U J,ح,و,ب,J,U,B,9696,5000,
ر ع ع,E E R,ر,ع,ع,R,E,E,1234,4000,
ر ر ب,B R R,ر,ر,ب,R,R,B,1121,3500,
ر ن أ,A N R,ر,ن,أ,R,N,A,7218,3500,
ر ن ي,V N R,ر,ن,ي,R,N,V,2111,3000,
د ل و,U L D,د,ل,و,D,L,U,6676,5000,
ق أ ح,J A G,ق,أ,ح,G,A,J,5,49000,
ط ي ن,N V T,ط,ي,ن,T,V,N,80,15500,
ب ط ر,R T B,ب,ط,ر,B,T,R,114,11500,
ك م ك,K Z K,ك,م,ك,K,Z,K,543,5500,
و ه ر,R H U,و,ه,ر,U,H,R,909,7500,
أ س د,D S A,أ,س,د,A,S,D,3618,3700,
ب ن م,Z N B,ب,ن,م,B,N,Z,2030,4000,
د ي م,Z V D,د,ي,م,D,V,Z,3834,4000,
أ س د,D S A,أ,س,د,A,S,D,7441,6400,
أ د ق,G D A,أ,د,ق,A,D,G,9777,3500,
ح ل أ,A L J,ح,ل,أ,J,L,A,1704,4500,
ر ك ن,N K R,ر,ك,ن,R,K,N,5949,2500,
ع س ط,T S E,ع,س,ط,E,S,T,6,51000,
ط ن ر,R N T,ط,ن,ر,T,N,R,993,6000,
ح ل ي,V L J,ح,ل,ي,J,L,V,5554,6000,
ر ل ك,K L R,ر,ل,ك,R,L,K,6667,4000,
د د ر,R D D,د,د,ر,D,D,R,1188,3300,
د م ع,E Z D,د,م,ع,D,Z,E,8855,5400,
ر ل ق,G L R,ر,ل,ق,R,L,G,8899,4000,
ر د ه,H D R,ر,د,ه,R,D,H,1418,1500,
ب و س,S U B,ب,و,س,B,U,S,2018,5500,
ح و و,U U J,ح,و,و,J,U,U,4774,3400,
أ ح ب,B J A,أ,ح,ب,A,J,B,1225,5200,
ر ق ر,R G R,ر,ق,ر,R,G,R,8088,3500,
و ح ك,K J U,و,ح,ك,U,J,K,4,50000,
ع م و,U Z E,ع,م,و,E,Z,U,3,120000,
د ل ر,R L D,د,ل,ر,D,L,R,2,120000,
أ ح أ,A J A,أ,ح,أ,A,J,A,55,30000,
ل و أ,A U L,ل,و,أ,L,U,A,77,160000,
ه د د,D D H,ه,د,د,H,D,D,555,45000,
م ي ط,T V Z,م,ي,ط,Z,V,T,888,24000,
ر ل ط,T L R,ر,ل,ط,R,L,T,7777,24000,
س ن ر,R N S,س,ن,ر,S,N,R,15,35000,
م ن ه,H N Z,م,ن,ه,Z,N,H,83,13500,
ه ق ط,T G H,ه,ق,ط,H,G,T,18,15000,
ي أ ق,G A V,ي,أ,ق,V,A,G,800,8000,
ر ع ب,B E R,ر,ع,ب,R,E,B,104,30000,
ي ب ع,E B V,ي,ب,ع,V,B,E,101,10000,
ق ص ه,H X G,ق,ص,ه,G,X,H,849,8000,
أ ح ب,B J A,أ,ح,ب,A,J,B,640,25000,
س أ د,D A S,س,أ,د,S,A,D,717,17000,
ن ي و,U V N,ن,ي,و,N,V,U,152,5000,
أ أ أ,A A A,أ,أ,أ,A,A,A,4144,20000,
ح ل أ,A L J,ح,ل,أ,J,L,A,1552,5000,
ب ي م,Z V B,ب,ي,م,B,V,Z,4321,25000,
د ن ه,H N D,د,ن,ه,D,N,H,7025,1500,
ر س ط,T S R,ر,س,ط,R,S,T,4463,1000,
أ ي و,U V A,أ,ي,و,A,V,U,3003,4000,
ر ك ن,N K R,ر,ك,ن,R,K,N,1785,1000,
ر ه ق,G H R,ر,ه,ق,R,H,G,7212,1000,
ر ر ق,G R R,ر,ر,ق,R,R,G,9799,2800,
ر ن د,D N R,ر,ن,د,R,N,D,1515,16500,
ب أ ي,V A B,ب,أ,ي,B,A,V,8988,4500,
ر ق د,D G R,ر,ق,د,R,G,D,5862,1000,
