"numberofbids","plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","simply-amount 2","simply-amount 3","simply-amount 4","highestBidAmount","sortAmount","sortIndex"
"0","١","د ب س","1","S B D","05","26","19","500,000.00","500000","0"
"30","١۰","س ن ص","10","X N S","05","41","30","17,000.00","17000","1"
"22","٤۰","ق ح ل","40","L J G","04","57","45","12,500.00","12500","2"
"16","۹١","ل ب ل","91","L B L","04","41","33","12,500.00","12500","3"
"14","٢١١٦","أ أ أ","2116","A A A","04","31","50","8,000.00","8000","4"
"13","١١١","ق ب ح","111","J B G","04","26","52","18,000.00","18000","5"
"13","٤۳","ق ن ن","43","N N G","04","19","30","11,500.00","11500","6"
"13","٥٤","ب ن ل","54","L N B","05","38","32","8,000.00","8000","7"
"13","۳۰۰","م ح أ","300","A J Z","04","29","00","8,000.00","8000","8"
"12","۸۰","و ن ح","80","J N U","05","01","31","10,500.00","10500","9"
"12","٢٢۰","ي و ي","220","V U V","04","43","15","6,500.00","6500","10"
"10","۳٢٦","ق ط ر","326","R T G","04","40","16","6,000.00","6000","11"
"9","۹٦","ن م د","96","D Z N","04","53","57","8,500.00","8500","12"
"9","٢٢١","ه أ أ","221","A A H","04","31","10","6,500.00","6500","13"
"8","٥۰۰","ي م د","500","D Z V","04","21","30","7,800.00","7800","14"
"7","٢۹","ل أ ن","29","N A L","05","07","13","11,000.00","11000","15"
"7","۹۳۷","م ط ر","937","R T Z","04","18","07","5,000.00","5000","16"
"7","۷٥۷","ه و ح","757","J U H","04","26","17","4,500.00","4500","17"
"7","۸۰٤۰","ح ر م","8040","Z R J","04","59","51","5,000.00","5000","18"
"4","۹٥۹۹","ح ن ه","9599","H N J","04","16","22","3,000.00","3000","19"
"3","٢۰٦","ل و س","206","S U L","05","22","06","4,500.00","4500","20"
"3","٥۳٥٥","ب د ر","5355","R D B","04","44","28","13,000.00","13000","21"
"3","٢٤٤٢","أ د ب","2442","B D A","05","06","13","6,000.00","6000","22"
"2","۳۳٤","ر ح ب","334","B J R","09","43","20","3,000.00","3000","23"
"2","٤٥٥۹","ر ن د","4559","D N R","04","57","08","3,000.00","3000","24"
"1","۸","د د و","8","U D D","04","16","50","90,500.00","90500","25"
"1","٥٥٥٥","ر ب د","5555","D B R","05","08","59","19,500.00","19500","26"
"1","٦۰","ل و ك","60","K U L","04","51","18","20,000.00","20000","27"
"1","۸۳۷","و ك أ","837","A K U","04","20","12","3,000.00","3000","28"
"1","٤٢۳","أ س د","423","D S A","05","52","46","15,400.00","15400","29"
"1","۹٤۹٥","ر ق و","9495","U G R","04","55","00","1,500.00","1500","30"
"1","۳٥٦۸","ح ر ب","3568","B R J","05","39","40","4,500.00","4500","31"
"0","٤","ع ب ه","4","H B E","04","49","05","60,000.00","60000","32"
"0","۷","ه ع ر","7","R E H","05","49","45","53,500.00","53500","33"
"0","۳۳","ع م ي","33","V Z E","04","25","28","50,000.00","50000","34"
"0","٤٤","ب ه ع","44","E H B","04","25","54","22,000.00","22000","35"
"0","٥٥","ن ص م","55","Z X N","04","28","54","23,000.00","23000","36"
"0","٦٦","ص ط ص","66","X T X","05","26","29","30,000.00","30000","37"
"0","٢٢٢","ب ك د","222","D K B","04","38","03","22,000.00","22000","38"
"0","۳۳۳","ط ك ح","333","J K T","04","40","38","22,000.00","22000","39"
"0","۹۹۹","س ب ن","999","N B S","05","23","31","35,000.00","35000","40"
"0","٦۸","ي أ د","68","D A V","04","16","49","38,000.00","38000","41"
"0","٤٥","ي ع ر","45","R E V","04","22","40","12,000.00","12000","42"
"0","٦۹","س س د","69","D S S","04","22","47","25,000.00","25000","43"
"0","۳۸","ي ص د","38","D X V","04","26","21","11,000.00","11000","44"
"0","٢۰","ر ي ن","20","N V R","04","39","42","42,500.00","42500","45"
"0","٥٦","ق ي ي","56","V V G","04","46","25","18,000.00","18000","46"
"0","۳٤","ن د ق","34","G D N","04","49","32","11,500.00","11500","47"
"0","۸۰","ن ه ر","80","R H N","05","05","32","60,000.00","60000","48"
"0","٦۰","ه ق د","60","D G H","05","09","00","16,000.00","16000","49"
"0","٦۷","ه م ص","67","X Z H","10","03","28","8,900.00","8900","50"
"0","۳۷۷","م ر د","377","D R Z","05","03","01","5,000.00","5000","51"
"0","٦٢٢","م ي م","622","Z V Z","04","17","26","15,500.00","15500","52"
"0","۹١١","ي ق ح","911","J G V","04","14","53","20,000.00","20000","53"
"0","٤٤٤۹","أ س د","4449","D S A","04","44","46","17,500.00","17500","54"
"0","٥۰۰۰","د و أ","5000","A U D","04","36","26","15,000.00","15000","55"
"0","۸۰۰۰","أ د ق","8000","G D A","05","26","35","17,000.00","17000","56"
"0","٥٦٥","ق ي ص","565","X V G","04","17","09","6,000.00","6000","57"
"0","۷۳۰","ص ص ي","730","V X X","04","18","23","7,000.00","7000","58"
"0","۷۰٥","ي ط س","705","S T V","05","07","28","4,000.00","4000","59"
"0","١۸١","ص ب أ","181","A B X","05","21","47","45,000.00","45000","60"
"0","١٥٦","أ ح ب","156","B J A","05","50","08","11,000.00","11000","61"
"0","٦۸٦٤","د د د","6864","D D D","05","33","17","12,000.00","12000","62"
"0","٦٤۷٢","ح م د","6472","D Z J","04","20","02","4,000.00","4000","63"
"0","٤۷٥٢","د و ن","4752","N U D","04","22","08","1,000.00","1000","64"
"0","٤۳٢١","ب ي م","4321","Z V B","04","30","54","23,700.00","23700","65"
"0","٥۹٥٥","ر ع د","5955","D E R","04","41","01","12,000.00","12000","66"
"0","۸۹٥۹","د ع و","8959","U E D","05","12","40","1,000.00","1000","67"
"0","۳٥٥۳","د ع د","3553","D E D","05","15","43","4,000.00","4000","68"
"0","١٢٢٥","أ ح ب","1225","B J A","05","43","19","4,900.00","4900","69"